"Puzzle","BruteForce","DepthFirst","BitWise","NakedSingles","HiddenSingles","NSSearch","HSSearch"
"000904021000300000301000004008005000000031008200790045500000102007000000102080000",15.9563,5.1319,5.5974,39.0523,19.5924,127,127
"050620000000000005810030007000701598004000062100000004000910280000800000000060003",0.5309,5.3585,0.1885,45.5008,13.0931,116,80
"204060789500000000000030000300006800006000000807005060000003900600049502050070000",0.1812,3.7769,0.0687,43.4858,15.5392,90,86
"506302000302001000000000020000628790601400035900000008200000900000050000700000100",4.9559,13.3416,1.7671,58.5603,12.3867,134,81
"900054320000000000000900000890740003000230090010006040570000000400100000030079400",39.7492,8.2785,14.3334,89.5798,30.0617,300,192
"000480090000000600201005000700000010030000002010730006007900108060027500000008060",47.7074,214.8527,17.4195,83.7409,28.7759,341,193
"006500300000002000000806000709400000485020709000900000900040002040030005102000090",4.656,30.3016,1.6813,22.6009,13.2018,91,87
"700843921800900005000060003500400000090000000000580000009054030000009070030000050",0.7277,53.6744,0.2687,15.9924,16.1945,58,95
"007650320000200000300000604890005000000312000003000005500000030060023000030070060",0.2727,0.4225,0.0827,51.2329,12.4791,85,81
"876000000000000000300800000709080200400310009003000500902000607600050100030029000",540.801,981.5663,200.9594,48.5319,25.0624,253,177
"080654020604000000000007000096700000740003000000096745000000032000010009002000400",2.9872,37.7834,0.7098,36.6629,16.3464,140,111
"000000800000000000810035000000000090074019008108376000003100902000000506900750000",8.9684,627.4125,2.8492,14.4855,14.1946,60,96
"000000009070000405800005007000700000080591000001000050507000900026900500048050060",138.3292,1080.1349,47.7091,25.5412,14.6707,117,93
"200000780500000000709000000041005097600700000000043002000062003062300000000001025",0.9756,3.2668,0.3494,14.7134,17.8019,56,83
"003000089000009120780000000210000800060070000007210000030000978602800500000001000",0.0295,11.0188,0.0167,82.0622,23.3166,290,161
"500000001000000064000004783607309000400010000803000076005000000900005000002803600",1.093,2.2712,0.3598,55.89,12.8701,99,81
"000670019002000400800000007365000700204000000091050200000000900126090004000500000",0.056,0.6526,0.0254,34.1658,14.2737,88,84
"000000000300000000000506300050701600601003275090650000005004060100000080000207400",53.7128,3.8316,18.0759,82.814,22.4651,431,169
"007050020600001907000007000790000000000140009400000060800000005046305000035090200",112.3058,577.4016,40.4707,17.2684,28.6801,81,199
"300500000560800004009200000420000005005090420000020300000000950000000013050103700",0.0712,2.0673,0.0305,128.5105,16.5319,562,102
"708500901003001006000800500000005010305000000012000000006009004000004080004080250",1.9083,5.4242,0.7005,37.4469,16.6174,89,89
"450000000070900006019040007000000090600007205007000000260010080100050600008200004",1.9997,2.7976,0.6624,22.9776,20.8911,56,134
"700800000800201005920005000007030402000002300300007650000000204050300000000000570",3.1221,39.3392,1.1183,65.4376,22.6447,217,137
"060800000800009000001000040080000012000000500302007000600451200204900006000070059",5.034,42.1363,1.7714,43.7263,22.4598,213,139
"080600000000001000300900000890040000005103096003090700070000032468012000000000008",66.9356,335.1898,23.1956,13.1842,19.8455,56,139
"700800900000020005000005003500094010406030000010080600000402000008006070100000056",0.8352,0.9225,0.2899,42.4157,27.6737,71,154
"000400089406987000009100000000000007065070014800000000000600908040000001000530040",0.0269,34.2128,0.0163,43.0077,15.3168,183,88
"907000001050030000300900000000700210740020006000006700009000102408010070100500000",0.241,1.0816,0.0935,26.5005,19.7567,58,104
"700000000000021700020060803080096010000010080002000604600200030000100070030070009",31.935,229.7948,11.2228,18.0602,16.5105,73,114
"000040901840091705001705040000000400000500080000000050070000000050374006000000508",10.8595,16.8684,3.543,21.0971,13.7368,61,83
"700540300000000006001000900005600210094200080003005000908050030032000000000360000",0.0749,2.6107,0.0309,43.3585,16.5689,76,99
"060700001700000004201500000000409018000080000800070042300006109000012400000000006",0.5586,21.5577,0.2052,16.2045,29.2741,56,167
"023006000400000103089100050000005090300970200000000300001042000000000500900500042",0.0374,1.4146,0.0189,48.8938,16.0267,65,97
"000590300004000000000806000009085200080302000003900548002100630000050090000000005",0.3657,0.4623,0.1241,28.978,12.8727,85,85
"900050000604020907300000650006000000000030006000890000079060102060210000100000008",189.4261,214.3887,66.906,17.3332,14.1645,79,94
"070000000094200070321876000009400010005000009000007008900700000040000005100050090",0.537,2.3709,0.1938,51.6665,18.3787,86,108
"000000020004001080021000600006705010005310000200000705009060102000000509000079000",0.0555,2.7517,0.0254,49.6092,17.5876,85,119
"600738000000000500090564700067400000000600000003000600840000027070001408000800000",1.0164,0.6595,0.3655,59.526,18.4103,110,105
"003406700000879100080003406100000800300980000000010000000000000042000001070001042",0.0323,0.5247,0.0173,47.6678,18.8441,111,108
"000000009600100000800005020060001008004000160098006004750010006200000700000003081",89.0005,608.2566,29.7832,14.4145,15.1271,56,104
"000056700050000120000023000000000807360000200000001030000630502000000078502000064",0.1341,156.6215,0.0363,27.0304,14.5755,129,85
"000000001900000000001070950090000200000231000003000000089060130400010580002580400",546.6718,36.9347,190.2664,11.4818,18.7278,56,84
"000001000000080204009030000200006890006090005807305460040003008000900000900000600",0.0436,36.2159,0.0215,39.7953,18.762,201,121
"007650000654320000021900000000000000000030000003800705000000030460010000032009408",10.0724,1.5326,3.5568,38.3748,21.736,71,104
"080050001604021000000907000800045000700000000200806740000000000000000579002500068",3.0145,1.6198,1.0024,28.5269,15.5085,97,89
"500000010000000546000006307003620001600009050020050000200007980100000002000003100",13.7113,87.3609,4.8732,30.1676,29.888,127,188
"030020800607000030009005600000008000004009308000006004000000000000800576086702003",5.1244,23.8248,1.6165,31.5541,16.1515,100,96
"800004300004103907301087000900002003003000700400000800700000036000006100006000000",0.072,0.9059,0.0311,40.3113,25.6494,56,115
"300060009007980040100340000003010700000070500090003006030008000000790030070100000",1.5394,6.6094,0.5509,52.744,17.9703,109,120
"500000010000090000009000020450021600000409070000000034030800002108907000900200080",288.0376,79.9346,103.8164,17.1325,11.5658,83,80
"007600020600300007000000054006005010700130890200090005000400000008000070002009008",0.7827,46.1644,0.285,30.7138,15.7957,100,97
"006000000904000070001800900000040000000300098010790600089460100400000000130500060",3.0837,31.1507,0.9871,15.7984,13.4755,56,85
"007004301000000007000987000000700000740010090200800000000000030408030579000579000",1.6243,35.0828,0.5537,26.1658,14.8413,109,109
"000000020054003007001907000800000000040000806010890000070068000000100570130500400",0.9023,35.7109,0.3212,37.2302,14.9302,137,83
"000000780000700123709003400100040008540060000000200500000000005860000010000000364",0.1632,0.6931,0.034,29.1801,41.7616,60,192
"007050320000023080020900000000700013040000000010090005570000000408230000002000460",17.8879,71.8361,6.2316,15.752,18.5166,63,113
"060040001800900005020000800007096012090000000310000090070000000008100070030008209",0.21,1.855,0.0793,46.1635,17.6814,59,104
"060000020040000000020800000080009005095012004000680700000000050206000407000927300",6.2043,61.2104,2.1402,11.544,19.3254,56,132
"007050300000000007000007004090000010005000090213006000009008100060010500000509468",13.9572,0.4628,4.2929,35.4999,21.5145,148,121
"907004020000301900000007000090000200000200000200000005070000032008000070132079460",2268.5814,633.6304,791.8071,18.0076,16.9014,71,98
"007004300004000007000007654800000003000030000013006700570400130400000000030070008",0.1914,13.7705,0.0694,52.9588,17.6216,184,111
"000000901500100800020000043000409200000700000010085709870000000250000307006000008",0.242,47.6366,0.0917,13.4919,17.0717,56,97
"340060100067001040000000000020000790004000003090020000000050070002094001070100804",0.0508,556.4702,0.0229,27.7411,16.7651,146,124
"005480000000291000200670003700500010500000000002800000009700100007004300000300760",21.4253,31.927,7.548,12.3482,23.1496,61,116
"003406009000000123080003000004300007000900010090000000000600900042890001900030600",0.0752,0.3769,0.017,42.6035,28.9029,61,144
"080050000000031980001907650000005003000020006003000005000468000068000000000570400",0.8805,148.085,0.3104,14.9381,27.8133,64,183
"900000001000000000000987000896005003000302090003090700009400100468001500100000000",0.3489,0.8739,0.1149,17.5721,14.0374,63,89
"700000000803009705000000003580600000006200007010007004070402000000006009030970006",0.9619,454.0832,0.3492,15.5427,12.8578,56,81
"000650021600031907000900600000745200000000000010000040000060100068020009000509000",10.3251,1.3268,3.4729,24.7714,13.6282,71,80
"000009020000000870000076950800000013090032005210085000000057030400000007050000000",0.9463,31.8359,0.2924,29.4048,16.0084,97,106
"000500080000087000080000106305000090000790325000000401000053900000800000950000603",11.0897,37.6209,3.9807,67.7776,25.5925,329,166
"200050089000000000780000000100540690000000010690370000300000004860700000070830500",0.0931,96.4197,0.0408,15.8517,23.4023,60,149
"000000001008010600201605000005006900026590004009004050000060000002143000000000009",0.1647,0.9424,0.0633,28.3298,16.7332,62,81
"000800001003010700001005040007004002000132500002500006014007000000026000000400030",4.1584,35.4595,1.507,33.3367,17.3198,119,110
"000000020054000806320800904008000003000200000200700645000000002060002080000009067",1.0528,2.8296,0.3548,19.5636,22.7858,56,143
"000067009560190034100030000000710000005600000000002700230000006001900020006000800",3.1643,1.2135,1.1218,29.4249,26.1284,56,85
"060700000030000560201000703050089400009000000100050000000006320900003008000870040",0.5127,7.1971,0.171,46.5335,14.5144,74,86
"700000901000002005901000043080490000096301000300007000009000138000009000000000209",3.0836,7.6785,0.9616,54.1216,16.0244,120,106
"007004300054021000320000650096700000705200800200090000000000100400000000000570060",0.7156,29.3117,0.2626,30.5559,14.8563,107,82
"056300009002000040009000007503620000600000000000030068035010000028064000000000170",29.3872,0.8372,10.167,94.7309,24.8462,301,147
"004030000008001004200060703067000410409017000000450070000000000000003008002070600",3.9333,28.1359,0.9586,35.5684,15.9081,123,96
"087000001000020087001900600000740210000002000000000045579000030000000000032570008",7.1207,31.9897,2.5653,20.3565,19.818,59,110
"000001000000000200000034106020000800410009000007020400140003978000090540000002600",1.0347,148.9868,0.3829,28.2921,26.1909,147,189
"000302009300001000010500320000620700001700000020104008000000900030060000004200160",0.1042,38.2625,0.0419,52.0907,20.4806,233,140
"007000300050001900020980054806000000040100006013806000000000132068000070000000000",0.8306,1.218,0.2959,33.1809,15.0554,96,89
"006370000002090000800006000050020091600700200000004000005400080000065400700000165",0.671,1.3605,0.2417,80.6513,17.6821,217,105
"031450700000007100080003400000040090000000300600001000302600000000004902004032001",2.1017,2.0007,0.7255,115.0881,31.9642,351,191
"020000000500080004700000150230400000400000300000000060140000008600940500958072000",2.8625,474.7245,1.0101,20.3103,16.9431,82,112
"204061009000700200000200000300406000006970025800000400000650000000000040003000612",1.992,469.6219,0.7116,24.7254,14.9596,109,103
"000300010070009540800046007000000090000090200000600000000000000000807052798030461",0.1462,2209.9317,0.0563,13.7114,12.774,59,83
"006000020000003076020800050798045000000231000003090000000400000000302080030009007",0.3464,0.6374,0.1294,131.052,20.3707,604,130
"080000300000000907300080000000045010045013000010006700009400000000130579100000008",1.8598,152.7939,0.7245,20.6375,12.4351,93,81
